strike,expiration,bid,ask,expiration_type,option_type,mid
1510,2/21/2020,0.05,0.55,standard,PUT,0.3
1515,2/21/2020,0.05,0.55,standard,PUT,0.3
1520,2/21/2020,0.1,0.6,standard,PUT,0.35
1525,2/21/2020,0.3,0.4,standard,PUT,0.35
1530,2/21/2020,0.05,0.6,standard,PUT,0.325
1535,2/21/2020,0.1,0.65,standard,PUT,0.375
1540,2/21/2020,0.1,0.65,standard,PUT,0.375
1545,2/21/2020,0.1,0.65,standard,PUT,0.375
1550,2/21/2020,0.3,0.7,standard,PUT,0.5
1555,2/21/2020,0.15,0.7,standard,PUT,0.425
1560,2/21/2020,0.15,0.7,standard,PUT,0.425
1565,2/21/2020,0.15,0.7,standard,PUT,0.425
1570,2/21/2020,0.2,0.75,standard,PUT,0.475
1575,2/21/2020,0.35,0.75,standard,PUT,0.55
1580,2/21/2020,0.25,0.8,standard,PUT,0.525
1585,2/21/2020,0.25,0.8,standard,PUT,0.525
1590,2/21/2020,0.25,0.8,standard,PUT,0.525
1595,2/21/2020,0.25,0.8,standard,PUT,0.525
1600,2/21/2020,0.5,0.85,standard,PUT,0.675
1605,2/21/2020,0.3,0.85,standard,PUT,0.575
1610,2/21/2020,0.35,0.9,standard,PUT,0.625
1615,2/21/2020,0.35,0.9,standard,PUT,0.625
1620,2/21/2020,0.35,0.9,standard,PUT,0.625
1625,2/21/2020,0.4,0.95,standard,PUT,0.675
1630,2/21/2020,0.4,0.95,standard,PUT,0.675
1635,2/21/2020,0.45,1,standard,PUT,0.725
1640,2/21/2020,0.45,1,standard,PUT,0.725
1645,2/21/2020,0.5,1.05,standard,PUT,0.775
1650,2/21/2020,0.5,0.85,standard,PUT,0.675
1655,2/21/2020,0.55,1.1,standard,PUT,0.825
1660,2/21/2020,0.55,1.1,standard,PUT,0.825
1665,2/21/2020,0.6,1.15,standard,PUT,0.875
1670,2/21/2020,0.6,1.15,standard,PUT,0.875
1675,2/21/2020,0.65,1.2,standard,PUT,0.925
1680,2/21/2020,0.7,1.25,standard,PUT,0.975
1685,2/21/2020,0.75,1.3,standard,PUT,1.025
1690,2/21/2020,0.75,1.3,standard,PUT,1.025
1695,2/21/2020,0.8,1.35,standard,PUT,1.075
1700,2/21/2020,0.85,1.4,standard,PUT,1.125
